order_id,name,createdAt,currencyCode,displayFinancialStatus,displayFulfillmentStatus,subtotalPrice,totalShippingPrice,totalTax,totalPrice,customerEmail,shippingCountryCode,shippingProvince,shippingCity,lineItemId,lineItemName,lineItemQuantity,sku,vendor,variantTitle,productId,productTitle,productType,variantId,originalUnitPrice,discountedTotal,lineItemTotalDiscount,requiresShipping,isGiftCard,taxable,imageUrl
gid://shopify/Order/6604283824720,#1213,2025-06-29T11:31:14Z,USD,PAID,FULFILLED,81.36,9.99,5.41,92.69,user3909@example.com,US,TX,Miami,gid://shopify/LineItem/16753770790246,Elegant ethnic Anarkali set(White-pink),1,sku-ank-002,stateside2,,gid://shopify/Product/11732788121283,Elegant ethnic Anarkali set(White-pink),apparel,gid://shopify/ProductVariant/48447168595035,81.36,77.29,4.07,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/08_01_2025_X-Design_6.webp?v=1755876894
gid://shopify/Order/6270754314521,#1214,2025-07-08T12:51:18Z,USD,PARTIALLY_REFUNDED,FULFILLED,431.72,9.99,27.50,430.30,user1704@example.com,US,FL,Seattle,gid://shopify/LineItem/15243069584835,Yoga Mat,3,sku-yoga-010,stateside5,Large,gid://shopify/Product/11048380298998,Yoga Mat,fitness,gid://shopify/ProductVariant/49450083128856,47.44,142.33,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/yoga_mat.jpg?v=1715764972
gid://shopify/Order/6270754314521,#1214,2025-07-08T12:51:18Z,USD,PARTIALLY_REFUNDED,FULFILLED,,,,,user1704@example.com,US,FL,Seattle,gid://shopify/LineItem/15384323522727,Quartz Watch,1,,stateside3,Large,gid://shopify/Product/11847017762989,Quartz Watch,accessories,gid://shopify/ProductVariant/51633370392805,45.24,45.24,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/watch.jpg?v=1715764972
gid://shopify/Order/6270754314521,#1214,2025-07-08T12:51:18Z,USD,PARTIALLY_REFUNDED,FULFILLED,,,,,user1704@example.com,US,FL,Seattle,gid://shopify/LineItem/15923537508300,Elegant Pleated kurta(Off-white),1,sku-kurta-003,stateside7,Small,gid://shopify/Product/12297475639082,Elegant Pleated kurta(Off-white),apparel,gid://shopify/ProductVariant/49606144045739,49.57,49.57,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/572b6464-291c-4392-9c3c-84197d845271.webp?v=1755877017
gid://shopify/Order/6270754314521,#1214,2025-07-08T12:51:18Z,USD,PARTIALLY_REFUNDED,FULFILLED,,,,,user1704@example.com,US,FL,Seattle,gid://shopify/LineItem/16599108174537,Elegant ethnic Anarkali set(White-pink),2,sku-ank-002,stateside1,Small,gid://shopify/Product/11138136138041,Elegant ethnic Anarkali set(White-pink),apparel,gid://shopify/ProductVariant/48544222342422,97.29,155.67,38.92,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/08_01_2025_X-Design_6.webp?v=1755876894
gid://shopify/Order/6603521785224,#1215,2025-07-09T22:32:47Z,USD,PAID,PARTIALLY_FULFILLED,396.34,9.99,27.74,434.07,user5245@example.com,US,MA,Los Angeles,gid://shopify/LineItem/15334720150143,Elegant ethnic Anarkali set(White-pink),3,sku-ank-002,stateside4,Standard,gid://shopify/Product/12545282546324,Elegant ethnic Anarkali set(White-pink),apparel,gid://shopify/ProductVariant/49658726047258,79.87,239.61,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/08_01_2025_X-Design_6.webp?v=1755876894
gid://shopify/Order/6603521785224,#1215,2025-07-09T22:32:47Z,USD,PAID,PARTIALLY_FULFILLED,,,,,user5245@example.com,US,MA,Los Angeles,gid://shopify/LineItem/15409377096086,Wireless Earbuds,3,sku-eb-009,stateside4,Large,gid://shopify/Product/11034198442736,Wireless Earbuds,electronics,gid://shopify/ProductVariant/48896054839017,52.24,156.73,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/earbuds.jpg?v=1715764972
gid://shopify/Order/6628187345423,#1216,2025-09-06T15:17:24Z,USD,PAID,FULFILLED,674.50,9.99,40.79,633.43,user7759@example.com,US,IL,Miami,gid://shopify/LineItem/15708240955369,Wireless Earbuds,3,sku-eb-009,stateside4,Small,gid://shopify/Product/12997734855513,Wireless Earbuds,electronics,gid://shopify/ProductVariant/52661301538523,162.61,414.65,73.17,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/earbuds.jpg?v=1715764972
gid://shopify/Order/6628187345423,#1216,2025-09-06T15:17:24Z,USD,PAID,FULFILLED,,,,,user7759@example.com,US,IL,Miami,gid://shopify/LineItem/16223568095237,Yoga Mat,2,sku-yoga-010,stateside5,Large,gid://shopify/Product/11200467588343,Yoga Mat,fitness,gid://shopify/ProductVariant/50040565382760,93.33,168.00,18.67,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/yoga_mat.jpg?v=1715764972
gid://shopify/Order/6315465575587,#1217,2025-09-08T16:20:22Z,USD,PAID,PARTIALLY_FULFILLED,392.94,0.00,22.79,348.36,user1239@example.com,US,IL,Austin,gid://shopify/LineItem/15343274480853,Quartz Watch,3,sku-watch-007,stateside8,Standard,gid://shopify/Product/11101680005747,Quartz Watch,accessories,gid://shopify/ProductVariant/49674760482301,74.74,190.59,33.63,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/watch.jpg?v=1715764972
gid://shopify/Order/6315465575587,#1217,2025-09-08T16:20:22Z,USD,PAID,PARTIALLY_FULFILLED,,,,,user1239@example.com,US,IL,Austin,gid://shopify/LineItem/15763140234141,Cotton Hoodie,3,sku-hood-008,stateside6,Standard,gid://shopify/Product/11490397178359,Cotton Hoodie,apparel,gid://shopify/ProductVariant/51196639050345,56.24,134.98,33.75,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/hoodie.jpg?v=1715764972
gid://shopify/Order/6208927945504,#1218,2025-07-02T01:41:03Z,USD,PAID,FULFILLED,40.62,9.99,2.70,51.28,,US,TX,Seattle,gid://shopify/LineItem/16737092206788,Wireless Earbuds,1,sku-eb-009,stateside1,Standard,gid://shopify/Product/11056842548578,Wireless Earbuds,electronics,gid://shopify/ProductVariant/52612358148481,40.62,38.59,2.03,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/earbuds.jpg?v=1715764972
gid://shopify/Order/6959176419130,#1219,2025-06-29T18:56:56Z,USD,PAID,PARTIALLY_FULFILLED,115.18,0.00,6.72,102.69,,,,,gid://shopify/LineItem/15192787917816,Elegant ethnic Anarkali set(White-pink),1,,stateside6,Small,gid://shopify/Product/12024419245790,Elegant ethnic Anarkali set(White-pink),apparel,gid://shopify/ProductVariant/48168451968161,76.70,65.19,11.50,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/08_01_2025_X-Design_6.webp?v=1755876894
gid://shopify/Order/6959176419130,#1219,2025-06-29T18:56:56Z,USD,PAID,PARTIALLY_FULFILLED,,,,,,,,,gid://shopify/LineItem/15106994555367,Yoga Mat,1,sku-yoga-010,stateside4,Standard,gid://shopify/Product/12418929452131,Yoga Mat,fitness,gid://shopify/ProductVariant/52018094974619,38.48,30.78,7.70,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/yoga_mat.jpg?v=1715764972
gid://shopify/Order/6767354920996,#1220,2025-07-31T22:10:47Z,USD,PAID,PARTIALLY_FULFILLED,826.14,9.99,53.86,833.27,user4031@example.com,,,,gid://shopify/LineItem/15700271397780,Quartz Watch,1,sku-watch-007,stateside4,Default Title,gid://shopify/Product/12922204227743,Quartz Watch,accessories,gid://shopify/ProductVariant/49166594298657,45.05,36.04,9.01,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/watch.jpg?v=1715764972
gid://shopify/Order/6767354920996,#1220,2025-07-31T22:10:47Z,USD,PAID,PARTIALLY_FULFILLED,,,,,user4031@example.com,,,,gid://shopify/LineItem/15409074090185,Yoga Mat,3,sku-yoga-010,stateside9,Large,gid://shopify/Product/11634607774225,Yoga Mat,fitness,gid://shopify/ProductVariant/51608127261598,126.53,379.58,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/yoga_mat.jpg?v=1715764972
gid://shopify/Order/6767354920996,#1220,2025-07-31T22:10:47Z,USD,PAID,PARTIALLY_FULFILLED,,,,,user4031@example.com,,,,gid://shopify/LineItem/16172098703145,Elegant ethnic Anarkali set(White-pink),1,sku-ank-002,stateside1,Default Title,gid://shopify/Product/11403385748427,Elegant ethnic Anarkali set(White-pink),apparel,gid://shopify/ProductVariant/49756879696099,75.59,60.48,15.12,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/08_01_2025_X-Design_6.webp?v=1755876894
gid://shopify/Order/6767354920996,#1220,2025-07-31T22:10:47Z,USD,PAID,PARTIALLY_FULFILLED,,,,,user4031@example.com,,,,gid://shopify/LineItem/16741498794160,Wireless Earbuds,1,sku-eb-009,stateside2,Large,gid://shopify/Product/12056053512065,Wireless Earbuds,electronics,gid://shopify/ProductVariant/52746782736307,325.91,293.32,32.59,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/earbuds.jpg?v=1715764972
gid://shopify/Order/6957382512389,#1221,2025-08-01T23:26:43Z,USD,PAID,FULFILLED,1335.63,0.00,86.05,1315.29,user1124@example.com,US,FL,New York,gid://shopify/LineItem/15220392797335,Elegant ethnic Anarkali set(White-pink),2,sku-ank-002,stateside2,Large,gid://shopify/Product/11990590175975,Elegant ethnic Anarkali set(White-pink),apparel,gid://shopify/ProductVariant/49998094066579,159.26,318.51,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/08_01_2025_X-Design_6.webp?v=1755876894
gid://shopify/Order/6957382512389,#1221,2025-08-01T23:26:43Z,USD,PAID,FULFILLED,,,,,user1124@example.com,US,FL,New York,gid://shopify/LineItem/16380242517466,Elegant ethnic Anarkali set(White-pink),3,sku-ank-002,stateside1,Default Title,gid://shopify/Product/12443538419159,Elegant ethnic Anarkali set(White-pink),apparel,gid://shopify/ProductVariant/51383469220370,177.31,425.55,106.39,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/08_01_2025_X-Design_6.webp?v=1755876894
gid://shopify/Order/6957382512389,#1221,2025-08-01T23:26:43Z,USD,PAID,FULFILLED,,,,,user1124@example.com,US,FL,New York,gid://shopify/LineItem/16955651063111,The 3p Fulfilled Snowboard,2,sku-snb-005,stateside7,Default Title,gid://shopify/Product/12609275215777,The 3p Fulfilled Snowboard,snowboard,gid://shopify/ProductVariant/49670874860100,242.59,485.18,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/Main_b9e0da7f-db89-4d41-83f0-7f417b02831d.jpg?v=1715764969
